14.10.2025:08:52:33.200;10.9612;127.133;1381.02;1
14.10.2025:08:52:33.220;10.9271;127.072;1376.3;1
14.10.2025:08:52:33.240;10.9452;126.568;1378.88;1
14.10.2025:08:52:33.260;11.0089;127.1;1386.79;1
14.10.2025:08:52:33.280;10.9606;126.606;1382.65;1
14.10.2025:08:52:33.300;10.9947;127.143;1384.3;1
14.10.2025:08:52:33.320;10.9755;127.107;1383.86;1
14.10.2025:08:52:33.340;11.002;127.076;1386.5;1
14.10.2025:08:52:33.360;11.0425;126.507;1392.45;1
14.10.2025:08:52:33.380;10.9609;127.08;1381.74;1
14.10.2025:08:52:33.400;10.9089;126.552;1377.25;1
14.10.2025:08:52:33.420;10.8784;127.122;1370.89;1
14.10.2025:08:52:33.440;10.8903;127.085;1374.16;1
14.10.2025:08:52:33.460;10.8914;126.571;1375.75;1
14.10.2025:08:52:33.480;10.8552;127.14;1368.67;1
14.10.2025:08:52:33.500;10.8015;126.577;1363.57;1
14.10.2025:08:52:33.520;10.8625;127.141;1369.5;1
14.10.2025:08:52:33.540;10.8462;127.098;1368.87;1
14.10.2025:08:52:33.560;10.8449;126.584;1369.94;1
14.10.2025:08:52:33.580;10.8795;127.12;1371.4;1
14.10.2025:08:52:33.600;10.9785;126.547;1384.81;1
14.10.2025:08:52:33.620;10.9393;127.141;1378.87;1
14.10.2025:08:52:33.640;10.9029;127.12;1375.6;1
14.10.2025:08:52:33.660;10.9207;126.584;1379.38;1
14.10.2025:08:52:33.680;10.8546;127.17;1367.92;1
14.10.2025:08:52:33.700;10.8133;126.587;1365.97;1
14.10.2025:08:52:33.720;10.7879;127.171;1360.49;1
14.10.2025:08:52:33.740;10.7955;126.614;1363.26;1
14.10.2025:08:52:33.760;10.7707;127.177;1357.62;1
14.10.2025:08:52:33.780;10.8402;127.134;1367.57;1
14.10.2025:08:52:33.800;10.8213;126.607;1365.63;1
14.10.2025:08:52:33.820;10.8236;127.162;1364.3;1
14.10.2025:08:52:33.840;10.893;127.113;1373.72;1
14.10.2025:08:52:33.860;10.8892;127.167;1373.39;1
14.10.2025:08:52:33.880;10.8784;127.125;1371.98;1
14.10.2025:08:52:33.900;10.8737;126.598;1372.33;1
14.10.2025:08:52:33.920;10.8406;127.176;1367.41;1
14.10.2025:08:52:33.940;10.8449;127.137;1367.77;1
14.10.2025:08:52:33.960;10.7962;126.612;1363.74;1
14.10.2025:08:52:33.980;10.762;127.172;1360.09;1
14.10.2025:08:52:34.000;10.7482;126.633;1357.15;1
14.10.2025:08:52:34.020;10.7366;127.185;1352.82;1
14.10.2025:08:52:34.040;10.7963;127.116;1361.96;1
14.10.2025:08:52:34.060;10.7371;126.612;1355.26;1
14.10.2025:08:52:34.080;10.8769;127.133;1369.65;1
14.10.2025:08:52:34.100;10.8415;126.621;1368.87;1
14.10.2025:08:52:34.120;10.7987;127.17;1360.04;1
14.10.2025:08:52:34.140;10.834;127.125;1365.49;1
14.10.2025:08:52:34.160;10.7722;126.65;1360.4;1
14.10.2025:08:52:34.180;10.7873;127.186;1359.43;1
14.10.2025:08:52:34.200;10.7631;126.647;1360.42;1
14.10.2025:08:52:34.220;10.7312;127.208;1354.09;1
14.10.2025:08:52:34.240;10.7481;127.169;1356.6;1
14.10.2025:08:52:34.260;10.839;126.624;1368.14;1
14.10.2025:08:52:34.280;10.7527;127.175;1355.07;1
14.10.2025:08:52:34.300;10.8407;126.631;1368.58;1
14.10.2025:08:52:34.320;10.8215;127.187;1363.21;1
14.10.2025:08:52:34.340;10.7904;126.644;1363.48;1
14.10.2025:08:52:34.360;10.7962;127.196;1361.52;1
14.10.2025:08:52:34.380;10.7283;127.167;1355.14;1
14.10.2025:08:52:34.400;10.7577;127.117;1358.99;1
14.10.2025:08:52:34.420;10.7806;126.587;1362.53;1
14.10.2025:08:52:34.440;10.777;127.153;1358.24;1
14.10.2025:08:52:34.460;10.708;126.578;1352.27;1
14.10.2025:08:52:34.480;10.7371;127.156;1355.32;1
14.10.2025:08:52:34.500;10.7593;127.133;1358.69;1
14.10.2025:08:52:34.520;10.8261;126.565;1365.79;1
14.10.2025:08:52:34.540;10.8215;127.139;1364.22;1
14.10.2025:08:52:34.560;10.8006;127.124;1362.26;1
14.10.2025:08:52:34.580;10.7447;127.186;1356.51;1
14.10.2025:08:52:34.600;10.7555;127.11;1356.95;1
14.10.2025:08:52:34.620;10.7748;126.586;1361.43;1
14.10.2025:08:52:34.640;10.6877;127.201;1351.18;1
14.10.2025:08:52:34.660;10.6797;127.165;1348.73;1
14.10.2025:08:52:34.680;10.6751;126.61;1348.25;1
14.10.2025:08:52:34.700;10.7015;127.114;1349.78;1
14.10.2025:08:52:34.720;10.7764;126.598;1360.81;1
14.10.2025:08:52:34.740;10.7889;127.151;1361.23;1
14.10.2025:08:52:34.760;10.7987;127.129;1361.76;1
14.10.2025:08:52:34.780;10.7563;126.621;1358.15;1
14.10.2025:08:52:34.800;10.6934;127.161;1351.86;1
14.10.2025:08:52:34.820;10.7191;126.596;1353.56;1
14.10.2025:08:52:34.840;10.7393;127.172;1355.49;1
14.10.2025:08:52:34.860;10.7042;127.148;1350.65;1
14.10.2025:08:52:34.880;10.6787;126.608;1348.36;1
14.10.2025:08:52:34.900;10.681;127.155;1347.72;1
14.10.2025:08:52:34.920;10.7103;126.598;1351.22;1
14.10.2025:08:52:34.940;10.7179;127.148;1353.36;1
14.10.2025:08:52:34.960;10.7286;126.627;1355;1
14.10.2025:08:52:34.980;10.7514;127.185;1356.97;1
14.10.2025:08:52:35.000;10.7089;127.141;1351.62;1
14.10.2025:08:52:35.020;10.7157;126.63;1353.3;1
14.10.2025:08:52:35.040;10.6148;127.223;1339.69;1
14.10.2025:08:52:35.060;10.6898;126.635;1349.78;1
14.10.2025:08:52:35.080;10.6693;127.195;1347.12;1
14.10.2025:08:52:35.100;10.663;127.167;1346.18;1
14.10.2025:08:52:35.120;10.7637;126.627;1359.62;1
14.10.2025:08:52:35.140;10.7384;127.194;1354.1;1
14.10.2025:08:52:35.160;10.7693;127.148;1358.82;1
14.10.2025:08:52:35.180;10.7369;127.201;1354.56;1
14.10.2025:08:52:35.200;10.6843;127.178;1348.45;1
14.10.2025:08:52:35.220;10.6723;126.642;1348.55;1
14.10.2025:08:52:35.240;10.6742;127.184;1346.62;1
14.10.2025:08:52:35.260;10.6769;127.167;1348.55;1
14.10.2025:08:52:35.280;10.5982;126.678;1342.36;1
14.10.2025:08:52:35.300;10.6219;127.192;1341.24;1
14.10.2025:08:52:35.320;10.7379;126.646;1356.09;1
14.10.2025:08:52:35.340;10.6955;127.198;1348.64;1
14.10.2025:08:52:35.360;10.6965;127.162;1349.77;1
14.10.2025:08:52:35.380;10.7085;127.233;1344;1
14.10.2025:08:52:35.400;10.6587;127.176;1344.69;1
14.10.2025:08:52:35.420;10.7128;126.648;1351.35;1
14.10.2025:08:52:35.440;10.6017;127.212;1337.69;1
14.10.2025:08:52:35.460;10.6218;127.167;1340.51;1
14.10.2025:08:52:35.480;10.6431;126.582;1344.67;1
14.10.2025:08:52:35.500;10.6167;127.181;1339.37;1
14.10.2025:08:52:35.520;10.6253;127.137;1341.43;1
14.10.2025:08:52:35.540;10.729;127.154;1353.25;1
14.10.2025:08:52:35.560;10.6275;127.149;1341.78;1
14.10.2025:08:52:35.580;10.6471;126.574;1343.69;1
14.10.2025:08:52:35.600;10.6382;127.163;1343.15;1
14.10.2025:08:52:35.620;10.6075;127.148;1339.61;1
14.10.2025:08:52:35.640;10.6368;126.582;1343.52;1
14.10.2025:08:52:35.660;10.6056;127.154;1339.72;1
14.10.2025:08:52:35.680;10.5994;126.6;1339.6;1
14.10.2025:08:52:35.700;10.6638;127.204;1345.93;1
14.10.2025:08:52:35.720;10.6502;127.142;1342.92;1
14.10.2025:08:52:35.740;10.6746;126.598;1348.47;1
14.10.2025:08:52:35.760;10.6825;127.166;1346.47;1
14.10.2025:08:52:35.780;10.6408;126.618;1344.56;1
14.10.2025:08:52:35.800;10.569;127.212;1335.22;1
14.10.2025:08:52:35.820;10.5747;127.158;1336.09;1
14.10.2025:08:52:35.840;10.587;126.637;1337.69;1
14.10.2025:08:52:35.860;10.5866;127.189;1335.18;1
14.10.2025:08:52:35.880;10.6205;126.629;1341.49;1
14.10.2025:08:52:35.900;10.6135;127.19;1339.44;1
14.10.2025:08:52:35.920;10.634;127.151;1342.22;1
